Job Class,Percentage,Link
Management,6.1,https://en.wikipedia.org/wiki/Management
Business and Financial operations,5,http://www.bls.gov/oes/current/oes130000.htm
Computer and Mathematical,2.7,http://www.bls.gov/oes/current/oes150000.htm
Architecture and Engineering,1.7,http://www.bls.gov/ooh/architecture-and-engineering/home.htm
"Life, Physical and Social Science",0.9,http://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,http://www.bls.gov/ooh/community-and-social-service/home.htm
Legal,0.8,http://www.bls.gov/oes/current/oes230000.htm
"Education, training and library",6.1,http://www.bls.gov/ooh/education-training-and-library/home.htm
"Arts, design, entertainment, sports and media",1.7,http://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5,http://www.bls.gov/oes/current/oes290000.htm
Healthcare support,2.8,http://www.bls.gov/oes/current/oes310000.htm
Protective service,2.3,http://www.bls.gov/oes/current/oes330000.htm
Food preparation and serving,8.3,http://www.bls.gov/ooh/food-preparation-and-serving/home.htm
Building and grounds cleaning and maintenance,3.7,http://www.bls.gov/oes/current/oes370000.htm
Personal care and service,4,http://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2,http://www.bls.gov/ooh/sales/home.htm
Office and administrative support,15.1,http://www.bls.gov/ooh/office-and-administrative-support/home.htm
"Farming, fishing and forestry",0.6,http://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,http://www.bls.gov/oes/current/oes470000.htm
"Installation, maintenance and repair",3.8,http://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,http://www.bls.gov/oes/current/oes510000.htm
Transportation and material moving,6.5,http://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8,Final Link
